date,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1-May-2018,9246.01,9248.99,8800.49,9071.48,41018.46,2018-05-01 23:59:59.999000 UTC,368688349.6,268741,20050.16784,180200005
2-May-2018,9071.48,9268,8970.2,9247.84,26123.54,2018-05-02 23:59:59.999000 UTC,238421833.8,188258,13960.45553,127439644.8
3-May-2018,9247.81,9844,9168.4,9750,38768.39,2018-05-03 23:59:59.999000 UTC,366028365.2,282581,21093.14034,199234352.4
4-May-2018,9750,9830.04,9520.85,9713.99,28681.59,2018-05-04 23:59:59.999000 UTC,277565997.6,210165,14779.49955,143070410
5-May-2018,9714,10020,9682,9864,24990.02,2018-05-05 23:59:59.999000 UTC,246807563.5,212076,13011.84429,128527643
6-May-2018,9863.99,9970,9417.03,9659.01,27690.35,2018-05-06 23:59:59.999000 UTC,267359420.3,229309,13297.50696,128427770.5
7-May-2018,9661.02,9689.67,9181,9365,33787.64,2018-05-07 23:59:59.999000 UTC,316015961.4,230754,15818.0488,147985335.5
8-May-2018,9365,9475.7,9060.54,9187.56,25533.83,2018-05-08 23:59:59.999000 UTC,236418155.7,189159,13086.54747,121220083.4
9-May-2018,9178,9390,8965,9310,25673.52,2018-05-09 23:59:59.999000 UTC,235736782.3,192337,13597.26816,124869560.7
10-May-2018,9310,9395.12,8970,9002.2,25055.06,2018-05-10 23:59:59.999000 UTC,231595002.6,221075,12548.13816,116002381.6
11-May-2018,9002.21,9016.8,8341,8400,48227.05,2018-05-11 23:59:59.999000 UTC,418859806.5,365538,22767.45867,197915875.8
12-May-2018,8405.94,8646.88,8153,8465.94,40241.32,2018-05-12 23:59:59.999000 UTC,337899865.9,310305,19545.9742,164142437.4
13-May-2018,8475.44,8763.36,8298,8679.71,25632.87,2018-05-13 23:59:59.999000 UTC,219455683.1,215590,12797.04791,109577063.6
14-May-2018,8679.71,8879.99,8277,8663.34,37389.67,2018-05-14 23:59:59.999000 UTC,320583612.2,292731,18408.05564,157869523.8
15-May-2018,8663.37,8859.99,8401.3,8462,28126.96,2018-05-15 23:59:59.999000 UTC,242341031.1,360379,13977.49765,120464422.6
16-May-2018,8462,8488,8083.01,8330,31130.72,2018-05-16 23:59:59.999000 UTC,257056552.4,300842,15627.10137,129113378.8
17-May-2018,8330,8464,7979,8041.46,25439.84,2018-05-17 23:59:59.999000 UTC,209489039.3,310780,12489.2645,103022237.8
18-May-2018,8038.82,8273.21,7911.9,8239.81,23476.16,2018-05-18 23:59:59.999000 UTC,189870380.9,183913,12352.9627,99971085.73
19-May-2018,8238.01,8390.8,8095.73,8233.49,17193.42,2018-05-19 23:59:59.999000 UTC,141878775.4,134185,8731.948551,72082928.17
20-May-2018,8233.49,8609,8163.9,8526.98,19957.06,2018-05-20 23:59:59.999000 UTC,167440553.8,161265,10632.45096,89177519.97
21-May-2018,8526.97,8595.31,8305,8381.24,21516.6,2018-05-21 23:59:59.999000 UTC,181750674.8,184158,10738.6864,90716245.79
22-May-2018,8386.89,8400.18,7935.11,7977.11,23710.9,2018-05-22 23:59:59.999000 UTC,194335432.4,192154,11801.52708,96803604.56
23-May-2018,7977.12,8031.9,7425,7501.95,42910.67,2018-05-23 23:59:59.999000 UTC,331238049.6,306812,20890.88927,161412820.8
24-May-2018,7501.95,7730.73,7266.99,7575.01,37845.45,2018-05-24 23:59:59.999000 UTC,284286378.5,253694,19012.98125,142901418.8
25-May-2018,7578.99,7649.55,7308.15,7457,26739.96,2018-05-25 23:59:59.999000 UTC,199749586,239025,13830.87024,103360633.1
26-May-2018,7456.99,7620,7300,7333.96,19464.09,2018-05-26 23:59:59.999000 UTC,145636226.5,212344,10377.95564,77725757.25
27-May-2018,7334,7400,7231.11,7338.99,18706.95,2018-05-27 23:59:59.999000 UTC,136710618.5,198341,10258.27695,74990830.63
28-May-2018,7338.99,7437,7058.02,7099,27219.44,2018-05-28 23:59:59.999000 UTC,196788994.3,233392,14409.48781,104233730.2
29-May-2018,7099,7540,7032.95,7461.29,39407.21,2018-05-29 23:59:59.999000 UTC,288070643.9,237359,21855.93031,159656478.1
30-May-2018,7467.98,7569,7260.5,7375.96,32041.58,2018-05-30 23:59:59.999000 UTC,237956894.1,242079,17205.94892,127816792.8
31-May-2018,7382.07,7699,7327.51,7485.01,30776.06,2018-05-31 23:59:59.999000 UTC,231017579.8,274399,17009.01323,127645145.7
1-Jun-2018,7485.01,7608.55,7355.54,7521.01,28259.12,2018-06-01 23:59:59.999000 UTC,211458512.1,303069,15701.20543,117516855.7
2-Jun-2018,7521.01,7697.33,7437,7640.03,26720.69,2018-06-02 23:59:59.999000 UTC,203370447.7,290131,15540.05112,118295999
3-Jun-2018,7636.81,7786.69,7600,7714.26,27505.16,2018-06-03 23:59:59.999000 UTC,211737376.9,349636,15760.91067,121340420.8
4-Jun-2018,7714.26,7760.52,7446.5,7487,32258.84,2018-06-04 23:59:59.999000 UTC,244167051.2,307003,17730.33582,134226423.8
5-Jun-2018,7487,7679.49,7358,7625,31722.97,2018-06-05 23:59:59.999000 UTC,237722147.7,236865,17315.6884,129807510.9
6-Jun-2018,7626.64,7699,7467.05,7658.84,27229.99,2018-06-06 23:59:59.999000 UTC,207006657.8,257573,15071.58787,114621117.2
7-Jun-2018,7658.79,7765,7620,7691.08,25062.23,2018-06-07 23:59:59.999000 UTC,192949056.8,244186,14415.5552,110989280.3
8-Jun-2018,7691.08,7703.5,7531,7603.44,23396.8,2018-06-08 23:59:59.999000 UTC,178204158.4,321734,13038.95834,99303699.2
